ID,item_cnt_month
0,0.51737994
1,0.20405364
2,0.5781578
3,0.27454215
4,0.20405364
5,0.45557612
6,0.5806686
7,0.0
8,0.023732906
9,0.20405364
10,2.3127015
11,0.26691994
12,0.18762705
13,0.21015164
14,1.4432992
15,1.2455854
16,0.20405364
17,0.17107408
18,1.2174939
19,0.21939035
20,0.56579393
21,0.20405364
22,1.4101201
23,0.66235685
24,0.339612
25,0.20405364
26,0.20405364
27,0.59318805
28,0.057200015
29,1.3285259
30,0.5376978
31,0.20405363
32,0.42239103
33,0.7819655
34,0.20297231
35,0.20498832
36,0.17099953
37,0.5258808
38,0.28430456
39,0.2217502
40,0.40520662
41,1.4648145
42,2.2157826
43,3.9124053
44,0.30678442
45,0.20405364
46,0.5804325
47,0.4605525
48,0.23942512
49,0.5733327
50,1.4765983
51,0.26691994
52,0.1401782
53,0.2844896
54,3.3287547
55,2.385164
56,2.9683459
57,2.0601265
58,3.2047393
59,4.8521676
60,1.7441841
61,0.48295856
62,0.30839723
63,0.24846293
64,0.20405364
65,0.20405364
66,0.5846621
67,0.20140645
68,0.30678442
69,0.24550174
70,0.20405364
71,0.20405364
72,0.23795082
73,2.3372455
74,0.20405364
75,0.20405364
76,0.17082871
77,0.20405364
78,0.4353543
79,0.56907785
80,1.3748137
81,4.0811124
82,1.1618333
83,0.42771906
84,0.9501895
85,0.8358249
86,1.0655519
87,0.21347414
88,5.768724
89,1.6197802
90,0.4911093
91,0.20405364
92,2.3591568
93,0.27454215
94,0.0
95,0.20152833
96,0.20140645
97,0.32065615
98,0.4008308
99,2.689616
100,0.0
101,0.20405364
102,0.49591523
103,0.20405364
104,0.18164296
105,0.20405364
106,0.20405364
107,1.0593952
108,0.14222643
109,0.20405364
110,0.44413063
111,0.20405364
112,0.20405364
113,0.20405364
114,0.89224523
115,0.30248317
116,0.20405364
117,0.1456483
118,6.8488445
119,0.1646525
120,0.1814517
121,0.18625677
122,0.27061188
123,0.41175058
124,0.747959
125,0.27865493
126,0.20405363
127,0.18415098
128,0.20405364
129,0.26672465
130,0.20405364
131,0.20405364
132,0.20405364
133,0.20405364
134,0.18924254
135,0.20405364
136,0.26691994
137,0.20405364
138,0.28931653
139,0.20405364
140,0.117526636
141,0.44273096
142,0.12759148
143,0.26691994
144,0.20405364
145,0.20405364
146,0.20405364
147,0.0901904
148,0.20405364
149,0.20405364
150,0.18394458
151,0.20405364
152,0.20405364
153,0.27767906
154,0.20405364
155,0.32414755
156,0.29440114
157,0.19982652
158,0.27506936
159,0.28740853
160,0.20405364
161,0.26691994
162,0.20405364
163,0.30836114
164,0.12719971
165,0.21285571
166,0.19651617
167,0.18624657
168,0.20405364
169,0.22598371
170,0.26691994
171,2.0008523
172,0.19482337
173,1.5814632
174,1.7986008
175,3.3409789
176,0.6369805
177,0.20405364
178,0.33501545
179,0.20150934
180,0.20405364
181,0.29427022
182,0.20405364
183,0.172947
184,0.20747648
185,0.20405364
186,0.20131947
187,0.2838387
188,0.20405364
189,0.20405364
190,0.20405363
191,0.9462686
192,0.40520662
193,0.24751182
194,0.19982652
195,0.33000308
196,0.20405364
197,2.9785194
198,0.69914025
199,0.20405364
200,0.20405364
201,0.20405364
202,0.25192562
203,0.06420546
204,0.22517098
205,0.20405364
206,0.20405364
207,0.19679324
208,0.44870973
209,0.24468763
210,0.34972718
211,0.16803712
212,0.1976695
213,0.20405364
214,0.2158681
215,0.6268803
216,0.3421021
217,0.37265754
218,2.8576224
219,0.7673988
220,0.16765611
221,0.20405364
222,0.20405363
223,0.4004235
224,0.8472711
225,0.3242037
226,0.2855566
227,0.20405364
228,0.44273096
229,0.20405364
230,0.20405364
231,0.39168376
232,0.20405364
233,0.20662902
234,0.20405364
235,0.2338984
236,0.2866665
237,0.0
238,0.20405364
239,0.0
240,0.2837043
241,0.18463103
242,0.20405364
243,0.20405364
244,0.20405364
245,0.2716915
246,0.2974647
247,0.6819887
248,1.0541465
249,0.1976597
250,0.27454215
251,0.29193863
252,0.25011498
253,1.7085178
254,1.2061521
255,0.20405363
256,0.20405364
257,0.12738162
258,0.2778506
259,0.256809
260,0.19541918
261,0.20029044
262,0.21973857
263,0.20405364
264,0.16448441
265,0.26811373
266,0.20405364
267,0.26691994
268,0.20498832
269,0.21648592
270,0.9220892
271,0.22379236
272,0.27116495
273,0.20405364
274,9.828699
275,0.20405364
276,0.20405364
277,1.707596
278,0.2346314
279,0.12464835
280,0.18224156
281,0.11586851
282,0.18304594
283,0.1957154
284,0.18224156
285,0.2309307
286,0.20405363
287,0.41222152
288,0.2152337
289,0.20405364
290,0.20405364
291,0.18694527
292,0.3731781
293,0.11852369
294,0.26691994
295,0.7991248
296,0.13783567
297,0.0
298,0.20405364
299,0.20405364
300,0.17361039
301,0.8730494
302,0.36241284
303,0.18696956
304,0.19982652
305,0.19679324
306,0.295238
307,0.26568207
308,0.23847194
309,0.20405364
310,0.20405364
311,0.5697447
312,0.38843715
313,0.12464835
314,0.20405364
315,0.20405364
316,0.16597186
317,0.20405364
318,0.20650198
319,0.24046955
320,0.20405364
321,0.17458072
322,0.5115182
323,0.15674096
324,0.45158398
325,0.17935486
326,0.19937626
327,0.20405364
328,0.20405364
329,0.29345867
330,0.20405364
331,0.20405364
332,0.26903158
333,0.18191116
334,0.40520662
335,0.25736994
336,0.21351327
337,0.2708733
338,0.21105082
339,0.2389947
340,0.17671634
341,0.33627337
342,0.20405364
343,0.5139275
344,0.19527303
345,0.23211558
346,2.8481128
347,1.0809903
348,0.26856324
349,0.2783453
350,0.20405363
351,0.4070831
352,0.20405364
353,0.20630781
354,0.20405364
355,0.20405364
356,0.20405364
357,0.26691994
358,0.15764509
359,0.20405364
360,0.27454215
361,1.5287867
362,0.20405364
363,0.40520662
364,0.25765908
365,0.2309307
366,0.20405364
367,0.20405364
368,0.20405364
369,0.2798307
